Timestamp;G√©ner;Nivel m√°ximo de estudio;Alcald√≠;Edad;øHas escuchado alguna vez sobre la existencia de la violencia de gÈnero?;øConsideras un problema la violencia de gÈnero?;øAlguna ves has presenciado violencia de gÈnero?;øDonde has presenciado violencia de gÈnero?;øCu·les crees que podrÌan ser formas de Violencia de gÈnero?;øPor quÈ motivo crees que se dÈ la violencia de gÈnero?;øDentro de tu n˙cleo familiar has visto alguna vez violencia de gÈnero?;øQuÈ te provoca esta encuesta?;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:02:35;Mujer;Universidad;Otro;26;S√;S√;S√;En una relaci√≥n;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Nivel educativo;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:04:12;Mujer;Universidad;Gustavo A. Madero;21;S√;S√;No;Ninguno;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:05:33;Mujer;Universidad;Iztacalco;23;S√;S√;S√;En el trabajo, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Abuso verbal, Golpear, empujar, Agredir psicol√≥gicamente, Menospreciar, Humillar, Acosar, Abuso sexual, Micro agresione;Falta de educacion, Religi√≥n, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia f√≠sica, Nivel educativo, Nivel socio econ√≥mico, Falta de difus;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:08:04;Mujer;Preparatoria;Otro;22;S√;S√;S√;En la escuela;Todas las anteriores;Todas las anteriores;No;Inter√©s;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:08:07;Prefiero no decirlo;Preparatoria;Gustavo A. Madero;22;S√;S√;S√;En la familia, En la escuela, En alguna instituci√≥n (gobierno, salud, etc.;Todas las anteriores;Todas las anteriores;S√;Indiferencia;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:12:26;Mujer;Universidad;Gustavo A. Madero;21;S√;S√;S√;En la familia, En la escuela;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:15:53;Mujer;Universidad;¡lvaro ObregÛn;22;S√;S√;S√;En la familia, En la escuela;Todas las anteriores;Falta de educacion, Religi√≥n, Costumbre familiar, Negligencia por parte de las autoridades, Apariencia f√≠sica, Nivel educativo, Nivel socio econ√≥m;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:39:15;Mujer;Preparatoria;Otro;16;S√;No;No;Ninguno;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Apariencia f√≠sic;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:41:04;Mujer;Universidad;Miguel Hidalgo;20;S√;S√;No;Ninguno;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 20:56:55;Mujer;Preparatoria;Otro;21;S√;S√;S√;En la escuela, En la calle;Todas las anteriores;Falta de educacion, Negligencia por parte de las autoridades;Tal vez;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:00:38;Mujer;Preparatoria;¡lvaro ObregÛn;21;S√;S√;No;Ninguno;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:11:09;Hombre;Preparatoria;Otro;33;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:17:28;Mujer;Universidad;¡lvaro ObregÛn;21;S√;S√;S√;Todas las anteriores;Todas las anteriores;Falta de educacion, Costumbre familiar, Falta de cultura, Negligencia por parte de las autoridades, Falta de difusi√≥;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:35:55;Mujer;Universidad;Iztapalapa;21;S√;S√;S√;En la familia, En el trabajo, En la escuela;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:48:16;Hombre;Maestr√≠;Otro;36;S√;S√;No;Ninguno;Todas las anteriores;Falta de educacion;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:51:15;Hombre;Universidad;Iztapalapa;30;S√;S√;S√;En la calle ;Todas las anteriores;Todas las anteriores;No;Me importa;;;;;;;;;;;;;;;;;;;;;;;
3/26/2021 21:55:02;Mujer;Universidad;Venustiano Carranza;23;S√;S√;S√;Todas las anteriores;Todas las anteriores;Todas las anteriores;S√;Me importa;;;;;;;;;;;;;;;;;;;;;;;
